TICKER,ISIN,SECTOR
BRADYM,INE856A01017,Industrials
LATIMMETAL,INE501N01020,Commodities
ELECON,INE205B01023,Industrials
DECANBRG,INE498D01012,Industrials
GRAUWEIL,INE266D01021,Commodities
HIMTEK,INE705G01021,Consumer Discretionary
GABRIEL,INE524A01029,Consumer Discretionary
HERCULES,INE688E01024,Industrials
AQFINTECH,INE598D01027,Financial Services
IFBIND,INE559A01017,Consumer Discretionary
SINGER,INE638A01035,Consumer Discretionary
INTLCOMBQ,INE403C01014,Industrials
FMGOETZE,INE529A01010,Consumer Discretionary
JOSTS,INE636D01033,Industrials
SCHAEFFLER,INE513A01022,Consumer Discretionary
MPCOSEMB,INE860N01012,Industrials
RANEHOLDIN,INE384A01010,Financial Services
ROLCOEN,INE775R01013,Industrials
SNL,INE568F01017,Consumer Discretionary
JAIPAN,INE058D01030,Consumer Discretionary
MANCREDIT,INE545L01039,Financial Services
TRF,INE391D01019,Industrials
WPIL,INE765D01014,Industrials
KENNAMET,INE717A01029,Industrials
HINDHARD,INE724D01011,Consumer Discretionary
TRITONV,INE440G01017,Consumer Discretionary
SUDAI,INE618D01015,Commodities
PRAKASH,INE603A01013,Commodities
HVL,INE219D01012,Industrials
ZPRBHSTE,INE821R01015,Industrials
ARSHIYA,INE968D01022,Services
GRINDWELL,INE536A01023,Industrials
STANROS,INE441L01015,Financial Services
GENESYS,INE727B01026,Information Technology
ALNATRD,INE07I701011,Services
PANKAJPIYUS,INE820M01018,Consumer Discretionary
PARNAXLAB,INE383L01019,Healthcare
GOURMET,INE512D01028,Industrials
VIVIDHA,INE370E01029,Consumer Discretionary
ISHWATR,INE073I01012,Financial Services
TERRAFORM,INE122V01010,Financial Services
APIS,INE070K01014,Fast Moving Consumer Goods
VELOXIND,INE092P01017,Services
EMERGENT,INE668L01013,Commodities
KANANIIND,INE879E01037,Consumer Discretionary
GCKL,INE403B01016,Fast Moving Consumer Goods
ZSARVAMA,INE978L01016,Services
ARIHANTSUP,INE643K01018,Consumer Discretionary
VIKSHEN,INE965V01012,Services
BLISSGVS,INE416D01022,Healthcare
STYRENIX,INE189B01011,Commodities
ALEMBICLTD,INE426A01027,Consumer Discretionary
AMNPLST,INE275D01022,Commodities
ANUHPHR,INE489G01022,Healthcare
MODISONLTD,INE737D01021,Industrials
BAYERCROP,INE462A01022,Commodities
CHEMOPH,INE320M01019,Healthcare
HEUBACHIND,INE492A01029,Commodities
COROMANDEL,INE169A01031,Commodities
DEEPAKNTR,INE288B01029,Commodities
DMCC,INE505A01010,Commodities
FERMENTA,INE225B01021,Healthcare
GOCLCORP,INE077F01035,Commodities
JAYCH,INE693E01016,Commodities
KANORICHEM,INE138C01024,Commodities
KELENRG,INE881E01017,Commodities
KEMP,INE060E01018,Services
NITTAGELA,INE265B01019,Commodities
MPAGI,INE468C01017,Commodities
OCCL,INE321D01016,Commodities
PCBL,INE602A01031,Commodities
AMAL,INE841D01013,Commodities
POLYCHEM,INE752B01024,Commodities
PUNJABCHEM,INE277B01014,Commodities
GUJCMDS,INE218N01021,Commodities
SADHNANIQ,INE888C01040,Commodities
SUDARSCHEM,INE659A01023,Commodities
TECILCHEM,INE014B01011,Commodities
ULTRAMAR,INE405A01021,Commodities
TRANSPEK,INE687A01016,Commodities
UNICHEMLAB,INE351A01035,Healthcare
MYSORPETRO,INE741A01011,Commodities
ALKYLAMINE,INE150B01039,Commodities
TUTIALKA,INE400A01014,Commodities
ASTRAZEN,INE203A01020,Healthcare
PRIMO,INE607A01022,Commodities
TANFACIND,INE639B01015,Commodities
GUJPETR,INE636P01011,Commodities
GUJTHEM,INE942C01045,Healthcare
SCBL,INE467X01015,Services
MAKERSL,INE987A01010,Healthcare
CONTCHM,INE423K01015,Information Technology
JBCHEPHARM,INE572A01036,Healthcare
IGLFXPL-B,INE684U01011,Commodities
RAJSPTR,INE374C01017,Consumer Discretionary
APTPACK,INE046E01025,Industrials
BLUECHIPT,INE472D01017,Consumer Discretionary
JAGAJITIND,INE574A01016,Fast Moving Consumer Goods
KESARENT,INE133B01019,Fast Moving Consumer Goods
TI,INE133E01013,Fast Moving Consumer Goods
EMERALL,INE044N01021,Consumer Discretionary
RAVALSUGAR,INE615A01025,Fast Moving Consumer Goods
SAKHTISUG,INE623A01011,Fast Moving Consumer Goods
WALCHANNAG,INE711A01022,Industrials
IFBAGRO,INE076C01018,Fast Moving Consumer Goods
KFBL,INE991B01010,Fast Moving Consumer Goods
CAPRO,INE470N01010,Commodities
GMBREW,INE075D01018,Fast Moving Consumer Goods
RANASUG,INE625B01014,Fast Moving Consumer Goods
PICCASUG,INE544C01023,Fast Moving Consumer Goods
SDBL,INE480C01038,Fast Moving Consumer Goods
CJGEL,INE557D01015,Commodities
ASALCBR,INE073G01016,Fast Moving Consumer Goods
THAKKERS,INE04VT01017,Services
CORAGRO,INE495D01018,Fast Moving Consumer Goods
FOODSIN,INE976E01023,Fast Moving Consumer Goods
IVP,INE043C01018,Commodities
KLRFM,INE014E01015,Fast Moving Consumer Goods
OLYOI,INE286E01019,Fast Moving Consumer Goods
MLKFOOD,INE588G01013,Fast Moving Consumer Goods
POLSON,INE339F01021,Commodities
SAGRSOY-B,INE131O01024,Fast Moving Consumer Goods
WIPRO,INE075A01022,Information Technology
ORIBEVER,INE247F01018,Fast Moving Consumer Goods
DHANUKA,INE435G01025,Commodities
TTKHLTCARE,INE910C01018,Diversified
TGVSL,INE284B01028,Commodities
LIMECHM,INE891G01011,Commodities
KANPRPLA,INE694E01014,Industrials
TAINWALCHM,INE123C01018,Industrials
JAGSNPHARM,INE048B01027,Healthcare
KHAICHEM,INE745B01028,Commodities
UNTTEMI,INE357P01014,Consumer Discretionary
NOL,INE296D01010,Commodities
GILLETTE,INE322A01010,Fast Moving Consumer Goods
WIREFABR,INE469D01013,Consumer Discretionary
ANSALHSG,INE880B01015,Consumer Discretionary
COMPUPN,INE607B01012,Information Technology
MCCHRLS-B,INE435D01014,Consumer Discretionary
ADDIND,INE757C01021,Consumer Discretionary
PIONRINV,INE746D01014,Financial Services
ASHNOOR,INE372I01018,Consumer Discretionary
UNITECH,INE694A01020,Consumer Discretionary
VIPIND,INE054A01027,Consumer Discretionary
FIBERWEB,INE296C01020,Consumer Discretionary
LKPFIN,INE724A01017,Financial Services
MNPLFIN,INE798E01013,Financial Services
BAJAJST,INE704G01024,Industrials
KIDUJA,INE845A01010,Financial Services
KEYCORP,INE130F01016,Financial Services
SHIKHARLETR,INE02BV01019,Financial Services
GUJHOTE,INE621C01011,Consumer Discretionary
RAJATH,INE455H01013,Financial Services
RASRESOR,INE651D01016,Consumer Discretionary
PARMCOS-B,INE143I01013,Fast Moving Consumer Goods
JINDHOT,INE726D01016,Consumer Discretionary
JPTRLES,INE990E01016,Financial Services
SIMMOND,INE657D01021,Consumer Discretionary
BNALTD,INE489D01011,Fast Moving Consumer Goods
HAWKINCOOK,INE979B01015,Consumer Discretionary
WARRENTEA,INE712A01012,Fast Moving Consumer Goods
COCHMAL,INE788M01017,Consumer Discretionary
BESTEAST,INE553F01035,Consumer Discretionary
NEAGI,INE605D01012,Fast Moving Consumer Goods
ISTLTD,INE684B01029,Consumer Discretionary
COSMOFIRST,INE757A01017,Industrials
APOLLOHOSP,INE437A01024,Healthcare
NITINCAST,INE861H01020,Industrials
SMIFS,INE641A01013,Financial Services
EVERESTIND,INE295A01018,Commodities
IRONWOOD,INE791H01011,Consumer Discretionary
MSRINDIA,INE331L01026,Industrials
AYMSYNTEX,INE193B01039,Consumer Discretionary
PANCARBON,INE013E01017,Industrials
FINKURVE,INE734I01027,Financial Services
HBLEAS,INE549B01016,Financial Services
SHRICON,INE753D01010,Financial Services
STRLGUA,INE668Y01016,Financial Services
SULABEN,INE673M01029,Financial Services
FRONTCAP,INE977E01013,Services
NAVNETEDUL,INE060A01024,Consumer Discretionary
KEDIACN,INE511J01027,Consumer Discretionary
TRANOCE,INE074J01018,Services
AUSOMENT,INE218C01016,Consumer Discretionary
THAKRAL,INE190F01028,Industrials
RUCHINFRA,INE413B01023,Services
VJTFEDU,INE117F01013,Consumer Discretionary
VOLLF,INE763D01019,Financial Services
NETLINK,INE040F01033,Information Technology
TRILIANCE,INE778N01016,Services
